"File_Name";"Content";"Category";"Complete_Filename"
"001.txt";"Why the feds are investigating Teslaâ€™s Autopilot and what that means for the future of self-driving cars
Itâ€™s hard to miss the flashing lights of fire engines, ambulances and police cars ahead of you as youâ€™re driving down the road. But in at least 11 cases in the past three and a half years, Teslaâ€™s Autopilot advanced driver-assistance system did just that. This led to 11 accidents in which Teslas crashed into emergency vehicles or other vehicles at those scenes, resulting in 17 injuries and one death.

The National Highway Transportation Safety Administration has launched an investigation into Teslaâ€™s Autopilot system in response to the crashes. The incidents took place between January 2018 and July 2021 in Arizona, California, Connecticut, Florida, Indiana, Massachusetts, Michigan, North Carolina and Texas. The probe covers 765,000 Tesla cars â€“ thatâ€™s virtually every car the company has made in the last seven years. Itâ€™s also not the first time the federal government has investigated Teslaâ€™s Autopilot.

As a researcher who studies autonomous vehicles, I believe the investigation will put pressure on Tesla to reevaluate the technologies the company uses in Autopilot and could influence the future of driver-assistance systems and autonomous vehicles.

How Teslaâ€™s Autopilot works

Teslaâ€™s Autopilot uses cameras, radar and ultrasonic sensors to support two major features: Traffic-Aware Cruise Control and Autosteer.

Traffic-Aware Cruise Control, also known as adaptive cruise control, maintains a safe distance between the car and other vehicles that are driving ahead of it. This technology primarily uses cameras in conjunction with artificial intelligence algorithms to detect surrounding objects such as vehicles, pedestrians and cyclists, and estimate their distances. Autosteer uses cameras to detect clearly marked lines on the road to keep the vehicle within its lane.

In addition to its Autopilot capabilities, Tesla has been offering what it calls â€œfull self-drivingâ€ features that include autopark and auto lane change. Since its first offering of the Autopilot system and other self-driving features, Tesla has consistently warned users that these technologies require active driver supervision and that these features do not make the vehicle autonomous.

Tesla is beefing up the AI technology that underpins Autopilot. The company announced on Aug. 19, 2021, that it is building a supercomputer using custom chips. The supercomputer will help train Teslaâ€™s AI system to recognize objects seen in video feeds collected by cameras in the companyâ€™s cars.

Autopilot does not equal autonomous

Advanced driver-assistance systems have been supported on a wide range of vehicles for many decades. The Society of Automobile Engineers divides the degree of a vehicleâ€™s automation into six levels, starting from Level 0, with no automated driving features, to Level 5, which represents full autonomous driving with no need for human intervention.

Within these six levels of autonomy, there is a clear and vivid divide between Level 2 and Level 3. In principle, at Levels 0, 1 and 2, the vehicle should be primarily controlled by a human driver, with some assistance from driver-assistance systems. At Levels 3, 4 and 5, the vehicleâ€™s AI components and related driver-assistance technologies are the primary controller of the vehicle. For example, Waymoâ€™s self-driving taxis, which operate in the Phoenix area, are Level 4, which means they operate without human drivers but only under certain weather and traffic conditions.

Tesla Autopilot is considered a Level 2 system, and hence the primary controller of the vehicle should be a human driver. This provides a partial explanation for the incidents cited by the federal investigation. Though Tesla says it expects drivers to be alert at all times when using the Autopilot features, some drivers treat the Autopilot as having autonomous driving capability with little or no need for human monitoring or intervention. This discrepancy between Teslaâ€™s instructions and driver behavior seems to be a factor in the incidents under investigation.

Another possible factor is how Tesla assures that drivers are paying attention. Earlier versions of Teslaâ€™s Autopilot were ineffective in monitoring driver attention and engagement level when the system is on. The company instead relied on requiring drivers to periodically move the steering wheel, which can be done without watching the road. Tesla recently announced that it has begun using internal cameras to monitor driversâ€™ attention and alert drivers when they are inattentive.

Another equally important factor contributing to Teslaâ€™s vehicle crashes is the companyâ€™s choice of sensor technologies. Tesla has consistently avoided the use of lidar. In simple terms, lidar is like radar but with lasers instead of radio waves. Itâ€™s capable of precisely detecting objects and estimating their distances. Virtually all major companies working on autonomous vehicles, including Waymo, Cruise, Volvo, Mercedes, Ford and GM, are using lidar as an essential technology for enabling automated vehicles to perceive their environments.

By relying on cameras, Teslaâ€™s Autopilot is prone to potential failures caused by challenging lighting conditions, such as glare and darkness. In its announcement of the Tesla investigation, the NHTSA reported that most incidents occurred after dark where there were flashing emergency vehicle lights, flares or other lights. Lidar, in contrast, can operate under any lighting conditions and can â€œseeâ€ in the dark.
";"Tesla";"001.txt-Tesla"
"002.txt";"Tesla Wants To Launch Full Self-Driving Public Beta In September
After a few days ago Elon Musk announced that the public debut of Full Self-Driving Beta was just weeks away, now the Tesla CEO has tweeted the exact time and date when Version 10 Beta will be made available to beta testers. Musk has now officially set the date for next Friday and he expects that about two weeks after that (around September 25), an updated version, Beta 10.1 is expected to be good enough for public rollout.

So after being postponed several times and many months, it looks like all Tesla owners whose vehicles have the right hardware will be able to experience FSD. The software and the neural network behind it have been improved a lot recently and Tesla opted to eliminate the need for anything other than cameras with Version 9 of the system, what the manufacturer called 'Pure Vision.'

The way Elon phrased it in his tweet, though, itâ€™s clear heâ€™s not 100 percent confident that Version 10.1 will, in fact, be good enough for public release. Not that long ago, he admitted that making cars that drive themselves is a far harder task than he anticipated and combined that with the ongoing NHTSA investigation into the Autopilot feature and you can understand why the manufacturer will treat this public rollout with maximum caution.

Even if the deadline is respected, this still only means Tesla drivers from the US will gain access to FSD, but not those from Canada, Europe or China. Regarding Canada, though, it could probably be next after the US, and Musk expects that FSD will be made available in the country in a few monthsâ€™ time, while no date for Europe has thus far been set.
After a few days ago Elon Musk announced that the public debut of Full Self-Driving Beta was just weeks away, now the Tesla CEO has tweeted the exact time and date when Version 10 Beta will be made available to beta testers.
Musk has now officially set the date for next Friday and he expects that about two weeks after that (around September 25), an updated version, Beta 10.1 is expected to be good enough for public rollout.
So after being postponed several times and many months, it looks like all Tesla owners whose vehicles have the right hardware will be able to experience FSD.
The way Elon phrased it in his tweet, though, itâ€™s clear heâ€™s not 100 percent confident that Version 10.1 will, in fact, be good enough for public release.
Even if the deadline is respected, this still only means Tesla drivers from the US will gain access to FSD, but not those from Canada, Europe or China.";"Tesla";"002.txt-Tesla"
"003.txt";"How Good Is Tesla Full Self-Driving (Beta) Right Now? (Videos)
In theory, we are getting closer and closer to a wide release of Teslaâ€™s beta feature-complete â€œFull Self Drivingâ€ package. If youâ€™re familiar with all of the background on this, skip to the third paragraph. If not, hereâ€™s the short story: Tesla has been working for years to increase its vehiclesâ€™ autonomous driving features. From not running over cats & dogs, to being able to change lanes on an Interstate highway without playing bumper cars, to being able to navigate through parking lots solo, Tesla cars have been getting more and more capable of autonomous driving. Two years ago, CEO Elon Musk indicated that Tesla vehicles with the â€œFull Self Drivingâ€ (FSD) package would have â€œfeature completeâ€ autonomous driving abilities by the end of the year (the end of 2019). They wouldnâ€™t yet be ready to roam the streets as robotaxis, but theyâ€™d be able to drive from door to door on their own â€” with human supervision. It turns out, though, that Teslaâ€™s method at the time had some software ceilings that just werenâ€™t going to make that practical.

Tesla implemented a thorough rewrite/restart on its software approach to autonomous driving that took several months (or about a year). And then more hurdles popped up. In order to get to the level Tesla needed for wide release of the feature-complete FSD package, as Elon recently put it, itâ€™s been a matter of two steps forward, one step back â€” over and over again. The running joke among many Tesla fans is that wide release of the door-to-door FSD features has been ~2 weeks away for a year, or nearly two years. At the moment, based on the last update, itâ€™s ~3 weeks away. In the meantime, there are a few thousand special Tesla owners who have had the capabilities in their cars for the past several months and have been sending feedback to Tesla to help it refine the system. With each update, some of them have been posting videos on YouTube and Twitter. Thatâ€™s where we can bring the others back in.

A couple of weeks ago, Tesla rolled out the v9.2 update of its FSD Beta system. Curious about how the self-driving tech is coming along, inspired by AI Day, and eager to potentially get the door-to-door FSD features in my Tesla Model 3 in a few weeks, Iâ€™ve been watching some of the recent videos. Below are a few good ones and some notes underneath them for anyone who is morally opposed to clicking play on 15 minute YouTube videos or even a sped-up 2:19 Twitter video.

In this first one, Chuck Cook starts off by tackling one of the biggest challenges heâ€™s seen FSD struggle with. He tries to get his Model 3 to take a left turn across three lanes of traffic, through an opening between the median, and into the traffic flowing left. The car doesnâ€™t feel comfortable trying this on two attempts and decides to turn right instead. I can understand deciding to skip that turn â€” I would typically avoid making a turn like that â€” but the thing I found odd was that after making the right turn, instead of getting over in the left lane to try to turn around on the desired route, it reroutes into a loop that would just put the car right back to the place where it failed to make the unprotected left turn. Odd.

Chuck then goes and finds a similar spot. He says the visibility is a bit better at this spot. He gets the car to make the left turn after much hesitation, but he has to tap the accelerator a couple of times to give it the encouragement to go. He goes back to the spot again and it makes the turn without any nudging when it sees a nice opening. He also indicates in the video that he likes how quickly the car accelerates once it makes the turn, but he wonders what the car would do if there was traffic on the other side of the median but not before the median â€” if the car would cross over and wait in the median area until there was an opening on the other side, or if it would just decide the turn was too challenging and avoid crossing altogether. On the third attempt in the same spot, the car again has an opening in both direction and makes the turn.

Next up, Chuck decides to see if the car will nicely leave this partially divided highway and turn left across three lanes of traffic safely. Itâ€™s drizzling a bit and the car starts driving quickly into the turn. It doesnâ€™t cross any lines, but it is driving quite fast and thereâ€™s fast oncoming traffic. Chuck doesnâ€™t like what heâ€™s seeing and he decides to intervene to make sure the car doesnâ€™t drive into traffic. (I would have done the same.) Even if Chuck hadnâ€™t intervened and the car had stopped itself before causing an accident, it seems that it would have stopped too suddenly for the driverâ€™s/passengerâ€™s comfort. He goes back to make the attempt again and the car waits for traffic and makes the turn pretty much perfectly. In a third attempt, the car goes back to the tendency it had in the first scenario and seems intent on zipping across the lanes when itâ€™s not safe to do so, then it apparently sees the oncoming vehicles and makes a sudden stop before crossing any lane markings. Though, the activity freaked out an oncoming pickup driver enough that the truck quickly started swerving into the lane to its right. Then he sees the Tesla stop and swings back. Did the pickup truck driver check carefully before starting to move into the lane next to it? I hope so, but the whole segment comes across as a bit sketchy.

Then Chuck returns to the unprotected left turn attempts. Visibility is bad on the left, but a big gap eventually appears and the car cautiously starts to make the turn. Lines on the touchscreen indicate itâ€™s going to turn left, but then the car gets a bit spooked (presumably about cars coming from the right) and decides to bail on the navigationâ€™s plan and turn right instead. Whoops. Chuck believes that the system thinks it needs to have clear traffic in both directions to make these turns, even though it could stop in the middle. Perhaps it just sees that middle space as inadequate, but itâ€™s not clear exactly why it wonâ€™t go sit in that middle spot and wait for the second opening. In yet another attempt, the car is waiting too long and traffic is building up behind Chuck, so he taps the accelerator, which encourages the car to go ahead and make its move, when he sees an opening. The car then executes the move perfectly â€” the maneuver through the median as well as the acceleration onto the highway once it reaches its lane.";"Tesla";"003.txt-Tesla"
"004.txt";"Tesla Must Send Autopilot Data to Feds by October 22
The National Highway Traffic Safety Administration (NHTSA) says Tesla must provide a wide-ranging set of data related to its Autopilot driver assistance system, as part of the agency's investigation into a series of crashes involving Teslas with the Autopilot software activated.

NHTSA is asking for extensive information about every crash that a Tesla equipped with Autopilot has been involved in, and for details about Autopilot's operating parameters.

Despite the ongoing investigation into Autopilot, Tesla CEO Elon Musk claimed on Twitter that the company will release a new version of the software it calls Full Self-Driving to beta-testing Tesla owners at midnight on Friday, September 10.

The National Highway Traffic Safety Administration (NHTSA) has requested a wide-ranging set of data from Tesla regarding its Autopilot driver assistance system as the government agency pushes forward with its investigation into Autopilot-involved crashes. NHTSA is currently looking into a handful of crashes in which Teslas, apparently operating with Autopilot engaged, crashed into parked emergency vehicles and caused injuries or other damage. Tesla has until October 22 to hand over the data, which includes details on which of the vehicles it has sold are equipped with Autopilot as well as the system's operating parameters.

In a public document that was also sent directly to Tesla, NHTSA asks the company to provide a list of every Tesla outfitted with the company's self-driving tech, including which hardware and software versions the car uses, as well as information on every crash the company is aware of involving a vehicle equipped with Autopilot. NHTSA has also asked for precise details of Autopilot's operating limits, including the maximum steering angle and maximum rates of acceleration and braking. The document also requests details about how the Autopilot system interacts with the driver, including a list of situations that would cause the system to disengage, and details of how and when driver inputs can override the Autopilot functions.

The NHTSA investigation is focused on 12 crashes between Teslas and stopped emergency vehicles. When the investigation launched a few weeks ago, only 11 crashes were under investigation. But a collision between a Model 3 and a highway patrol car in Orlando, Florida last Saturday became the 12th crash on NHTSA's list. The owner of the Model 3 claimed Autopilot was engaged at the time of the crash.

This content is imported from Twitter. You may be able to find the same content in another format, or you may be able to find more information, at their web site.

FSD Beta 10 rolls out midnight Friday next week â€” Elon Musk (@elonmusk) September 2, 2021

If NHTSA determines in its investigation that Tesla's Autopilot system is unsafe, it could compel the company to recall cars or repair them to correct any safety defects. NHTSA has estimated that any such fix could impact up to 765,000 Teslas built between 2014 and 2021.

Tesla appears unperturbed by the investigation. The company's CEO, Elon Musk, said this week via Twitter that Tesla is preparing to release a new version of its so-called Full Self Driving (FSD) software, an even more ambitious driver-assistance system, to a group of Tesla owners who act as test subjects for new versions of the FSD software. Musk even hinted that the FSD software could be made widely available via an opt-in button within the next few weeks, though it wouldn't be the first time he'd changed his mind on that score. Tesla owners pay $10,000 for FSD capability, or can choose to pay a monthly rate of $199 instead.";"Tesla";"004.txt-Tesla"
"005.txt";"Survey Reveals Tesla's Full Self-Driving Take Rate Is Declining
A new survey, conducted by Troy Teslike, among over 17,000 Tesla car owners, reveals the take rate of Tesla's Full Self-Driving Capability (FSD) since its introduction in Q4 2016, up to Q2 2021.

The Full Self-Driving Capability is an optional, in-development, software-based feature that is promised to offer a fully autonomous driving experience (at some point in the future), relying mostly on cameras.

According to the data (which isn't guaranteed to be 100% correct), only a little bit over one in ten new Teslas globally is purchased with FSD.

The take rate in Q2 2021 was actually at a record low level of 11.1% (on par with Q2 2018), after a continuous decline since the 46% peak in Q2 2019. See the full report here: FSD Take Rate until Q2 2021.

The changes to take rate are actually easy to interpret. Initially, the feature was basically only a promise of self-driving (without any specific functions) and it cost ""only"" $3,000 above Autopilot/Enhanced Autopilot.

In Q2 2019, Tesla removed the $5,000 Enhanced Autopilot and added all its features to the FSD (FSD price increased to $6,000), while the basic Autopilot became a standard feature (Autosteer and traffic-aware cruise control).

Since then, the price of FSD gradually has increased to $10,000 and the take rate declined to 11%.

Another important factor that contributes to the decline is a higher share of less expensive cars (Model 3/Model Y than Model S/Model Y), and a higher share of car sales in China/Asia and Europe where FSD is less popular than in the U.S.

In July, the company launched a subscription service for the Full Self-Driving (FSD), which might fully affect the take rate. Separately, customers can add FSD after purchase, but it usually means a slightly higher price.

Currently, the Full Self-Driving Capability ($10,000) includes:

Navigate on Autopilot

Auto Lane Change

Autopark

Summon

Full Self-Driving Computer

Traffic Light and Stop Sign Control

Coming later this year: Autosteer on city streets

The second chart reveals the data for North America and breaks it between Model 3, Model Y and Model S/X duo. The percents decline here as well.

Troy Teslike estimates that in total about 359,200 FSD purchases were made (over 264,700 in North America, over 88,700 in Europe and just 5,700 in Asia-Pacific), which at an average of $6,000 (between $3,000 to $10,000) would be over $2.1 billion. Not bad - it should allow to pay the bills for the development of the autonomous driving system.

Only time will tell whether Tesla will be able to deliver a true autonomous driving system, but let's not forget that even then, no one will be allowed to use it in public without proper regulations (approvals of the system and liability in the event of an accident).

Anyway, as of now, the unofficial data indicate that FSD's take rate is declining, which indicates that customers might not be interested, don't believe that it will be delivered or consider it too expensive (at a promise/beta stage at least).
A new survey, conducted by Troy Teslike, among over 17,000 Tesla car owners, reveals the take rate of Tesla's Full Self-Driving Capability (FSD) since its introduction in Q4 2016, up to Q2 2021.
See the full report here: FSD Take Rate until Q2 2021.
Initially, the feature was basically only a promise of self-driving (without any specific functions) and it cost ""only"" $3,000 above Autopilot/Enhanced Autopilot.
In July, the company launched a subscription service for the Full Self-Driving (FSD), which might fully affect the take rate.
Currently, the Full Self-Driving Capability ($10,000) includes:Navigate on AutopilotAuto Lane ChangeAutoparkSummonFull Self-Driving ComputerTraffic Light and Stop Sign ControlComing later this year: Autosteer on city streetsThe second chart reveals the data for North America and breaks it between Model 3, Model Y and Model S/X duo.";"Tesla";"005.txt-Tesla"
"006.txt";"Amid Teslaâ€™s Autopilot Probe, Nearly Half the Public Thinks Autonomous Vehicles Are Less Safe Than Normal Cars
More than 50% of Americans have not heard much or anything about the crashes involving Tesla vehicles using â€œAutopilotâ€ or the federal governmentâ€™s investigation into the matter.

17% believe autonomous vehicles are as safe as cars driven by humans, up from 8% in 2018.

37% of U.S. adults said they may ride in an autonomous vehicle in the future and 34% said they would not.

The inside of a Tesla vehicle is viewed as it sits parked in a new Tesla showroom and service center in Red Hook, Brooklyn, on July 5, 2016, in New York City. The electric car company and its chief executive and founder, Elon Musk, have come under increasing scrutiny following a crash of one of its electric cars while using the Autopilot service. (Spencer Platt/Getty Images)

As the federal government investigates Tesla Inc. for crashes involving its vehicles using the â€œAutopilotâ€ feature, a new poll indicates much of the public has safety concerns about autonomous vehicles, though Americansâ€™ interest in the cars has risen slightly compared to a few years ago. Forty-seven percent of U.S. adults said in the new Morning Consult poll that they believe AVs are less safe than cars driven by humans, down slightly from the 50 percent who said the same in a March-April 2018 survey. That poll was conducted shortly after the first-known fatal pedestrian accident in the United States involving a self-driving vehicle, which was being tested by Uber Technologies Inc. in Arizona.

Seventeen percent of adults believe AVs are as safe as regular cars driven by humans, up from 8 percent who said the same in 2018, although the number of people who believe self-driving vehicles are safer than regular cars has dropped from 27 percent in 2018 to 22 percent in 2021. Despite the recent setbacks for autonomous vehicles, public interest in self-driving cars has increased slightly since 2018.

In the latest survey, 23 percent of adults said they would ride in an AV, up from 19 percent who said the same in the 2018 survey. Another 37 percent said they may ride in an AV in the future, an increase from three years ago within the surveyâ€™s 2 percentage-point margin of error. The latest poll comes on the heels of an investigation launched by the National Highway Traffic Safety Administration last month into Tesla. NHTSA said it has identified 11 instances across nine different states where Tesla vehicles that had engaged either its â€œAutopilotâ€ or â€œTraffic Aware Cruise Controlâ€ modes crashed into vehicles driven by first responders on scene at an investigation. Shortly after the agency began scrutinizing the company, a Tesla Model 3 struck a parked police car and a Mercedes SUV in Orlando, Fla., with the driver telling officers she was using Autopilot at the time of the crash. While Tesla Chief Executive Elon Musk has been bullish on his companyâ€™s efforts, describing them as â€œarguably the leaders in real-world AIâ€ during Teslaâ€™s first â€œAI Dayâ€ last month, he has also been more measured in some recent comments. In late August, he said in a tweet that Teslaâ€™s latest self-driving software update was â€œnot greatâ€ but noted that the companyâ€™s AI team was working â€œas fast as possibleâ€ to improve it. Teslaâ€™s critics, meanwhile, are keen to rein in the company. New National Transportation Safety Board Chair Jennifer Homendy told Bloomberg that confusion over the capabilities of automated driving systems like Autopilot could impact public trust in the potential safety benefits of the technology. And Sens. Ed Markey (D-Mass.) and Richard Blumenthal (D-Conn.) jointly called for the Federal Trade Commission to investigate Tesla for its â€œpotentially deceptive and unfairâ€ advertising of Autopilot as being fully autonomous. While Teslaâ€™s AV crashes have received national attention from regulators and lawmakers, polling suggests that news of the NHTSAâ€™s investigation â€“ and the crashes themselves â€“ has failed to break through to the general public.
More than 50% of Americans have not heard much or anything about the crashes involving Tesla vehicles using â€œAutopilotâ€ or the federal governmentâ€™s investigation into the matter.
17% believe autonomous vehicles are as safe as cars driven by humans, up from 8% in 2018.
37% of U.S. adults said they may ride in an autonomous vehicle in the future and 34% said they would not.
Despite the recent setbacks for autonomous vehicles, public interest in self-driving cars has increased slightly since 2018.
and Richard Blumenthal (D-Conn.) jointly called for the Federal Trade Commission to investigate Tesla for its â€œpotentially deceptive and unfairâ€ advertising of Autopilot as being fully autonomous.";"Tesla";"006.txt-Tesla"
"007.txt";"Musk turns on Teslaâ€™s latest Full Self-Driving beta, says itâ€™s â€œactually not greatâ€
If you havenâ€™t been impressed with what youâ€™ve seen of Teslaâ€™s latest Full Self-Driving beta, version 9.2, youâ€™re not alone. CEO Elon Musk agrees.

â€œFSD Beta 9.2 is actually not great imo,â€ he said in a tweet last night, â€œbut Autopilot/AI team is rallying to improve as fast as possible.â€

FSD Beta 9.2 is actually not great imo, but Autopilot/AI team is rallying to improve as fast as possible. Weâ€™re trying to have a single stack for both highway & city streets, but it requires massive NN retraining. â€” Elon Musk (@elonmusk) August 23, 2021

Development hell

While Tesla's Full Self-Driving feature can perform impressively at times, videos from beta testers show it falling short at critical moments. In one video, a car approaching a small construction site suddenly steers toward a hole marked by orange cones. Earlier betas have seen Teslas successfully making turns in city streets before surging toward parked cars or scratching themselves by plowing through overgrown bushes extending into the right of way.

The development of Teslaâ€™s Full Self-Driving feature has had a long and rocky history. In June 2016, Musk said that he thought fully autonomous vehicles were just a couple of years off. â€œI really would consider autonomous driving to be basically a solved problem,â€ he said. â€œI think we're basically less than two years away from complete autonomy.â€

Months later, Tesla began delivering cars with new Autopilot hardware, which the company said at the time would be capable of full self-driving. (That statement ended up not being entirely trueâ€”some owners have to pay for a new computer to access Full Self-Driving.) In 2016, Tesla also began selling customers future access to the feature for $5,000, a price that the company would increase in increments to $10,000.";"Tesla";"007.txt-Tesla"
"008.txt";"Tesla Sells â€˜Full Self-Driving,â€™ but What Is It Really?
Tesla did not respond to several requests for comment.

Complaints about the F.S.D. kit may pale in comparison with the concerns that people are being killed by misuse of or glitches in Teslaâ€™s driver-assistance technology. But they point to a common thread of Teslaâ€™s approach to driving automation: The company is making promises that other carmakers shrink from, and its customers think their cars can do more on their own than they really can.

â€œOne of the downsides of automated technology can be overreliance â€” people relying on something it may not be able to do,â€ said Jason K. Levine, executive director of the Center for Auto Safety, a nonprofit that has monitored the industry since the early 1970s.

Other automakers are being considerably more conservative when it comes to automation. The likes of General Motors and Toyota offer driver-assistance technologies akin to Autopilot and F.S.D., but they do not market them as self-driving systems.

Backed by billions of dollars from major automakers and tech giants, companies like Argo, Cruise and Waymo have been developing and testing autonomous vehicles for years. But in the near term, they have no intention of selling the technology to consumers. They are designing vehicles they hope to deploy in certain cities as ride-hailing services. Think Uber without the drivers.

In each city, they begin by building a detailed, three-dimensional map. First they equip ordinary cars with lidar sensors â€” â€œlight detection and rangingâ€ devices that measure distances using pulses of light. As company workers drive these cars around the city, the sensors collect all the information needed to generate the map, pinpointing the distance to every curb, median and roadside tree.

The cars then use this map to navigate roads on their own. They continue to monitor their surroundings using lidar, and they compare what they see with what the map shows, keeping close track of where they are in the world.

At the same time, these sensors alert the cars to nearby objects, including other cars, pedestrians and bicyclists. But they do not do this alone. Additional sensors â€” including radar and cameras â€” do much the same. Each sensor provides its own snapshot of what is happening on the road, serving as a check on the others.
kit may pale in comparison with the concerns that people are being killed by misuse of or glitches in Teslaâ€™s driver-assistance technology.
The likes of General Motors and Toyota offer driver-assistance technologies akin to Autopilot and F.S.D., but they do not market them as self-driving systems.
First they equip ordinary cars with lidar sensors â€” â€œlight detection and rangingâ€ devices that measure distances using pulses of light.
They continue to monitor their surroundings using lidar, and they compare what they see with what the map shows, keeping close track of where they are in the world.
At the same time, these sensors alert the cars to nearby objects, including other cars, pedestrians and bicyclists.";"Tesla";"008.txt-Tesla"
"009.txt";"esla explains how the Full Self-Driving sausage is made
Tesla

After a late start, Tesla's AI Day event kicked off Thursday evening with a video demonstration of the company's upcoming Full Self-Driving system following a navigation route on suburban roads. During the demo, a driver set a destination on the car's navigation system, double clicked the stalk on the steering column and the vehicle appeared to then pull into traffic and negotiate intersections with stop signs and traffic lights on its own. Along the way, it avoided pedestrians, making both right and left-hand turns. The driver, meanwhile, kept their fingertips lightly on the steering wheel as it spun around.

Right now, Tesla's Full Self-Driving system is still technically not actually fully self-driving, but company CEO Elon Musk is bullish that this technology will not only advance, but will eventually be better than the average driver.

""I'm confident that our hardware 3 Full Self-Driving computer 1 will be able to achieve full self-driving at a safety level much greater than a human,"" Musk said. ""At least 200% or 300% better than a human. Then, obviously, there will be a hardware 4 FSD computer 2, which we'll probably introduce with Cybertruck -- so maybe in about a year or so. That will be about four times more capable, roughly.""

The bulk of the AI Day presentation was dedicated to how Tesla's artificial intelligence engineers are working to improve the comfort and safety of the FSD system. It starts with a three-dimensional Vector Space that is created as the vehicle senses its environment through its eight cameras. These eight feeds are corrected and then fused into a single virtual environmental prediction model that gives the car's computers a bird's-eye view of the world it's navigating. Think less 360-degree camera system and more Tron-like 3D recreation of the local space.";"Tesla";"009.txt-Tesla"
"010.txt";"Senators ask FTC to investigate Teslaâ€™s â€˜Full Self-Drivingâ€™ promises
Senators Ed Markey (D-MA) and Richard Blumenthal (D-CT) have asked new Federal Trade Commission Chair Lina Khan to investigate Teslaâ€™s marketing of its advanced driver assistance system, Autopilot. The Senators are particularly concerned with how Tesla has been charging customers thousands of dollars for what it refers to as â€œFull Self-Driving capability,â€ despite the fact that buying that package does not make the companyâ€™s cars fully autonomous.

â€œTeslaâ€™s marketing has repeatedly overstated the capabilities of its vehicles, and these statements increasingly pose a threat to motorists and other users of the road,â€ the senators wrote in a letter published Wednesday. â€œAccordingly, we urge you to open an investigation into potentially deceptive and unfair practices in Teslaâ€™s advertising and marketing of its driving automation systems and take appropriate enforcement action to ensure the safety of all drivers on the road.â€

The letter comes as the Biden administration has been steadily increasing the scrutiny of tech companies. Much of that focus to date has been through the lens of antitrust policy â€” especially at the FTC under Khan â€” but Tesla has drawn some heat as well. Earlier this week, the National Highway Traffic Safety Administration announced an investigation into Autopilotâ€™s tendency to crash into parked emergency vehicles.

The request comes days after safety regulators announced a new probe into Autopilot

Tesla CEO Elon Musk has spent years claiming that his companyâ€™s cars were on the verge of being able to drive themselves without any human intervention, though that functionality has never arrived. In 2015, he said fully autonomous Teslas were just two years away. In 2016, Tesla announced that all its new cars had the hardware required to accomplish this, and that the company just needed a little more time to dial in the software. That turned out to not be true, as Tesla has since created a new computer that these older cars would need.

At the same time, Tesla started offering customers a â€œFull Self-Drivingâ€ option when they bought their cars, essentially asking them to prepay for one day having a fully autonomous car. In exchange, these owners would get more advanced capabilities than what is offered in the standard Autopilot suite as Tesla developed them.

In late 2018, Tesla pulled this option from its website, with Musk admitting that it caused â€œtoo much confusion.â€ But just a few months later, it was back, and Musk again promised that full autonomy would be available by the end of 2019.

Since then, Tesla has continued to charge money for the â€œFull Self-Drivingâ€ option â€” the price currently stands at $10,000 if you buy it when you buy one of the companyâ€™s cars, though Tesla also recently started selling â€œsubscriptionsâ€ to the Full Self-Driving package if owners want it after purchase. The company is explicit on its website that the option does not make its cars fully autonomous, though as of writing it still promises the functionality will be available by yearâ€™s end.

Even then, Musk now says a â€œfeature-completeâ€ version of Teslaâ€™s Full Self-Driving software is defined as the car being able to drive someone from home to work â€œmost likely without interventions,â€ which does not describe a fully autonomous vehicle.

Tesla once pulled the â€œFull Self-Drivingâ€ option from its website because of â€œconfusionâ€

Tesla has been beta testing this more â€œfeature-completeâ€ version of the Full Self-Driving software for months now, with a few thousand owners in the program running the software on roads across the country. Many of these owners have filmed their experiences with the software, which gets updated every few weeks or months. The results are a mixed bag; for every intervention-free video of a Tesla gliding through a cityscape, thereâ€™s another where the car refuses to take a left turn or dives toward oncoming traffic.

Muskâ€™s many claims, as well as the beta, and a video released in 2019 showing an early version of the Full Self-Driving software navigating roads in the San Francisco Bay Area make up the bulk of what the Senators cite in their letter. They also say Tesla has been misleading in its advertising of Autopilot and Full Self-Driving â€” though the company doesnâ€™t engage in traditional advertising.

â€œWe fear that Teslaâ€™s Autopilot and FSD features are not as mature and reliable as the company pitches to the public,â€ the Senators wrote. â€œTesla drivers listen to these claims and believe their vehicles are equipped to drive themselves â€“ with potentially deadly consequences.â€

Safety advocates and other regulators have long pushed for more scrutiny over the way Tesla treats its driver assistance technology. In early 2020, the National Transportation Board found that the design of Autopilot and overconfidence in its abilities were what led to a fatal crash in Mountain View, California. Musk has even admitted that drivers can get too complacent when using Teslaâ€™s driver assistance features. But for years, heâ€™s only allowed a passive form of driver monitoring when Autopilot is engaged";"Tesla";"010.txt-Tesla"
